Sample_ID,Sample_Type,Type,Raw_Yield(G),Raw_Reads_Num(M),Raw_Q30,Raw_Q20,Raw_GC,Clean_Yield(G),Clean_Reads_Num(M),Clean_Q30,Clean_Q20,Clean_GC,Effective,Insert_Size_Peak(bp),V_primer_percent,J_primer_percent,merge_rate,clone_reads_ratio
HPLXTCR00166,gdna,Healthy,7.7,51.34,95.55,98.58,53.11,6.62,50.98,96.07,98.87,53.12,85.94,115,95.38,93.7,0.85,0.8
HPLXTCR03249,gdna,Healthy,4.94,32.9,92.94,97.31,55.07,4.0,32.66,94.28,98.03,55.76,81.02,99,95.52,97.03,0.95,0.856
HPLXTCR03247,gdna,Healthy,5.15,34.32,92.77,97.21,55.19,4.13,34.07,94.29,98.02,55.8,80.26,123,95.04,97.14,0.95,0.841
HPLXTCR03246,gdna,Healthy,6.29,41.95,92.71,97.24,55.73,5.19,41.63,93.88,97.87,56.38,82.41,147,95.13,97.08,0.95,0.846
HPLXTCR03245,gdna,Healthy,4.92,32.8,92.61,97.17,55.22,4.05,32.53,93.86,97.85,55.72,82.27,106,95.04,96.98,0.93,0.84
HPLXTCR03244,gdna,Healthy,5.62,37.47,92.43,97.09,55.27,4.63,37.18,93.64,97.76,55.86,82.41,147,95.09,97.11,0.94,0.85
HPLXTCR03243,gdna,Healthy,6.01,40.1,92.86,97.25,55.03,4.79,39.78,94.2,97.96,55.67,79.69,104,95.0,97.27,0.96,0.849
HPLXTCR03242,gdna,Healthy,5.35,35.69,92.93,97.23,54.44,3.92,35.43,94.92,98.23,55.24,73.29,106,95.39,97.49,0.99,0.849
HPLXTCR03241,gdna,Healthy,5.75,38.36,92.66,97.13,55.08,4.7,38.05,93.96,97.83,55.58,81.62,156,94.94,97.24,0.93,0.83
HPLXTCR03240,gdna,Healthy,4.52,30.15,92.66,97.15,55.44,3.7,29.87,93.95,97.87,56.01,81.76,107,95.36,96.84,0.94,0.845
HPLXTCR03239,gdna,Healthy,5.09,33.92,92.77,97.19,54.95,4.01,33.63,94.31,98.01,55.59,78.73,104,94.83,97.25,0.96,0.845
HPLXTCR03238,gdna,Healthy,5.63,37.56,92.79,97.29,55.49,4.63,37.3,93.98,97.92,56.15,82.16,99,95.25,96.96,0.94,0.845
HPLXTCR03237,gdna,Healthy,4.02,26.81,92.75,97.2,55.44,3.25,26.58,94.07,97.91,56.09,80.76,104,94.96,97.07,0.94,0.844
HPLXTCR03236,gdna,Healthy,3.8,25.32,92.65,97.13,55.21,3.0,25.1,94.19,97.95,55.86,78.88,110,94.94,97.15,0.96,0.848
HPLXTCR03235,gdna,Healthy,4.97,33.1,92.76,97.18,55.03,3.92,32.82,94.23,97.96,55.66,79.04,104,94.85,97.25,0.96,0.849
HPLXTCR03234,gdna,Healthy,5.93,39.55,92.04,96.84,55.44,4.79,39.24,93.79,97.82,56.08,80.69,141,95.07,97.19,0.95,0.853
HPLXTCR03233,gdna,Healthy,5.76,38.42,92.72,97.2,55.09,4.66,38.1,94.06,97.93,55.71,80.79,102,95.25,96.97,0.94,0.849
HPLXTCR03232,gdna,Healthy,4.28,28.52,92.18,96.8,55.7,3.5,28.29,93.74,97.8,56.39,81.82,105,95.1,96.94,0.92,0.842
